date,time,Unknown,calcium,calories,carbs,cholesterol,fat,fiber,iron,monounsaturated fat,polyunsaturated fat,potassium,protein,saturated fat,sodium,sugar,vitamin_c
2024-03-16,10:51:00,,11.9403,40.2428,7.28118,0,0,0.597015,0.214925,0,0,375,0.599415,0,14.9254,6.56717,28.6567
2024-03-16,16:37:00,,128.044,1095.36,68.8976,304.374,67.5813,3.90055,5.2222,11.3821,5.12652,595.397,56.1978,25.794,1983.91,9.23707,3.776
2024-03-16,17:13:00,,0,192,12,0,1.65,0.65,0,0,0,0,32,0.55,300.177,0.65,0
2024-03-16,23:13:00,,22.4,1104.4,118.2,50,51.64,3.2,0.7704,3.112,1.136,306,32.388,2.156,360,5,0
2024-03-17,13:45:00,,0,200,25.9,0,7.4,0,0,0,0,0.2,5.9,0,0.1,0,0
2024-03-17,13:46:00,,0,542,55.2,30,19.6,2.5,0,1.8,0.6,157.2,33.3,1.8,672,2.7,0
2024-03-17,14:28:00,,22.4,1020.83,104.999,208.5,51.2445,3.158,0.7704,15.5515,7.06,772,36.9035,7.81175,785.7,8.02,13.5
2024-03-17,21:04:00,,0,643,8,50,33,2,0,3,1,262,77,2,120,3,0
2024-03-18,07:29:00,,18,720.994,71.121,0,17.642,2.55,0.4887,0.07,0.085,632.1,51.6955,0.0975,790.8,12.47,0
2024-03-18,08:47:00,,0,512,32.6,50,17.6,2,0,3,1,262,58,2.5,120.355,3.4,0
2024-03-18,15:02:00,,155.662,680.726,40.386,81,39.7164,7.1514,0.885001,5.9577,1.13955,785.564,68.3299,3.7129,931.3,19.5407,33.1968
2024-03-19,07:32:00,,0,200,50,0,0,0,0,0,0,0,4,0,170,50,0
2024-03-19,09:12:00,,0,377,40.05,0,5.85,5.15,0,0,0,0,38.05,1.2,300.177,0.65,0
2024-03-19,15:15:00,,32.64,758.886,8.1008,163.68,60.2497,10.03,0.77,9.44872,2.29364,448.72,46.3523,4.35624,68.2348,0.6908,0
2024-03-19,19:44:00,,0,740,124.6,28,5.2,4.4,0,0,0,0,25.2,0,1440,0,0
2024-03-20,09:18:00,,0,647.6,57.99,100,25.5,3.3,0,6.095,5.27,405,40.89,3.165,2116.05,2.38,0
2024-03-20,15:53:00,,46.8153,707.851,61.7642,105.75,32.1,2.24702,4.93993,12.6,1.35,712.5,44.472,8.4,884.349,14.2172,33.9667
2024-03-20,20:15:00,,136.8,892.8,92.08,49.2,35.12,1.2,1.4256,6.96,0.84,256.2,49.11,5.88,211.92,0.12,4.752
2024-03-21,07:28:00,,0,476,57.6,0,5.39,4.5,0,0,0,0,53.34,1.282,0.355,14.83,0
2024-03-22,00:09:00,,448.2230,666.7071270,29.114490,196.4160,41.789670,4.058890,2.049060,1.940830,1.021320,138.2530,45.201770,2.556940,79.67020,8.034670,3.562760
2024-03-22,09:30:00,,0,377,40.05,0,5.85,5.15,0,0,0,0,38.05,1.2,300.177,0.65,0
2024-03-22,15:14:00,,32.64,758.886,8.1008,163.68,60.2497,10.03,0.77,9.44872,2.29364,448.72,46.3523,4.35624,68.2348,0.6908,0
2024-03-22,23:35:00,,85.14,1482.56,112.047,54684,56.5353,5.1318,1.56978,10.8881,2.80276,1136.72,63.8508,11.7077,665.8,9.50782,33.3318
2024-03-23,09:48:00,,231.4,89,23.3536,0,0.178,2.492,0,0.02314,0.0712,194.02,4.9612,0.01602,1.78,17.533,51.0504
2024-03-23,11:48:00,,0,377,40.05,0,5.85,5.15,0,0,0,0,38.05,1.2,300.177,0.65,0
2024-03-23,15:13:00,,31.6,641.187,58.9646,0,26.9404,2.80502,1.7055,1.86825,0.735877,27.5,40.2271,8.91522,195.498,13.3921,10.656
2024-03-23,22:07:00,,87.1,911.64,84.1247,35,46.754,5.876,3.4929,7.86213,0.37409,513.51,42.7884,10.7094,1136.15,17.2449,18.051
2024-03-24,08:29:00,,0,284,38.75,0,5.45,5.15,0,0,0,0,17.05,0.95,300,0.45,0
2024-03-24,13:58:00,,0,198,21.4,0,2.5,1.3,0,0,0,0,22,0.6,600,0.9,0
