date,sleep_time,sleep_score_performance,sleep_score_consistency,sleep_score_efficiency,sleep_duration,sleep_rem,sleep_deep,sleep_light,sleep_awake,recovery_score,resting_hr,hrv,spo2,skin_temp
2024-03-16,01:41:25,72.0,,92.01961,6.488625555555555,1.9546819444444443,1.7784338888888889,2.1787191666666668,0.5767905555555556,36.0,66.0,33.090385,93.21875,33.2
2024-03-17,23:29:11,81.0,,90.760376,8.32342,1.9787208333333333,2.1950105555555552,3.380635555555556,0.7690530555555556,66.0,57.0,48.889313,94.475,32.6
2024-03-18,23:44:01,69.0,83.0,89.808525,7.650227222222222,2.539216944444445,2.4113088888888887,1.8265058333333333,0.8731955555555556,66.0,55.0,49.322872,95.125,32.3
2024-03-19,23:41:30,52.0,82.0,88.954704,5.407153055555556,1.2013836111111111,1.49004,2.0828630555555554,0.6328663888888889,53.0,56.0,50.17025,95.30769,32.83
2024-03-20,23:47:32,56.0,78.0,87.39549,6.7690225,2.242811111111111,1.6903261111111112,1.954678611111111,0.8812066666666667,58.0,51.0,49.17148,96.333336,32.3
2024-03-21,22:51:50,58.0,77.0,79.56768,7.434187500000001,2.227054722222222,2.1309275,1.5381055555555556,1.538099722222222,53.0,56.0,43.76995,95.375,32.527588
2024-03-22,00:53:05,47.0,73.0,92.67064,4.9585375,1.2494472222222224,1.6662872222222225,1.642255,0.4005480555555555,18.0,64.0,29.07209,92.888885,33.4
2024-03-23,22:55:55,81.0,65.0,85.461395,9.234003333333332,2.875942222222222,3.2604744444444447,1.7277066666666665,1.36988,85.0,54.0,54.36026,95.73529,32.765
2024-03-24,00:19:26,70.0,70.0,89.004234,6.9452655555555545,2.1226438888888888,1.8505419444444444,2.187004722222222,0.7850750000000001,93.0,49.0,65.71943,96.64286,32.7
2024-03-25,00:10:24,64.0,80.0,84.844864,7.770383333333333,2.595555833333333,2.058825833333333,1.9383894444444445,1.1776122222222225,80.0,51.0,58.698925,95.42308,32.426666
2024-03-26,22:57:43,72.0,78.0,89.134636,7.618187777777777,2.491155555555556,2.291143055555556,1.986723611111111,0.8491655555555556,74.0,51.0,54.641388,94.67647,32.6
2024-03-27,00:02:40,48.0,79.0,87.71876,5.511299166666666,1.5779011111111112,1.5220894444444444,1.7063441666666668,0.7049644444444444,30.0,56.0,41.458385,95.0,32.193333
2024-03-28,23:37:48,67.0,81.0,92.938194,7.033379444444445,2.1386683333333334,1.6262297222222222,2.7717977777777776,0.4966836111111111,14.0,68.0,23.07752,95.53571,33.8
2024-03-29,00:23:47,80.0,56.0,84.06839,7.441944166666667,1.3535944444444443,2.130921111111112,2.7718075,1.185621111111111,85.0,50.0,64.74988,94.066666,32.2
2024-03-31,23:25:21,81.0,52.0,91.01773,7.993621666666667,1.962695,1.8505322222222225,3.4113463888888886,0.7690480555555556,85.0,52.0,63.11792,93.84615,33.606667
2024-04-01,00:27:51,47.0,50.0,95.82619,4.7983175,1.8422619444444448,1.1615905555555557,1.5941922222222222,0.2002727777777777,33.0,59.0,44.769096,93.65,32.6
2024-04-02,22:29:10,67.0,39.0,81.15013,8.114851666666667,1.8182172222222224,1.9867244444444443,2.7477666666666662,1.5621433333333334,80.0,55.0,58.878735,91.4,32.764427
